[Modal]
50

[Random]
[Jumlah Peti]
3,4,5

[Skor]
50

[Waktu]
100

[Simpul]
20

[Jarak Simpul]
-99,10,-99,-99,5,-99,-99,7,-99,-99,8,-99,-99,-99,-99,-99,12,-99,-99,-99
10,-99,-99,7,-99,-99,-99,4,-99,-99,-99,-99,-99,-99,15,-99,-99,-99,-99,9
-99,-99,-99,-99,14,-99,-99,13,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,8,-99
-99,7,-99,-99,-99,12,-99,-99,-99,-99,3,-99,-99,-99,13,-99,-99,-99,-99,-99
5,-99,14,-99,-99,-99,-99,-99,11,8,-99,-99,6,-99,-99,-99,-99,-99,-99,-99
-99,-99,-99,12,-99,-99,-99,-99,-99,7,-99,-99,-99,-99,14,-99,-99,4,-99,-99
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,10,-99,-99,-99,12,-99,-99,-99,8
7,4,13,-99,-99,-99,-99,-99,-99,-99,-99,12,-99,-99,-99,-99,-99,-99,-99,-99
-99,-99,-99,-99,11,-99,-99,-99,-99,-99,-99,-99,-99,-99,9,-99,-99,-99,-99,-99
-99,-99,-99,-99,8,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,12,-99
8,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,13,-99,-99,-99,12,-99,-99,-99
-99,-99,-99,-99,-99,-99,10,12,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-99,5,-99,6,-99,-99,-99,-99,-99,13,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,15,-99,13,-99,14,-99,-99,9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-99,-99,-99,-99,-99,12,-99,-99,-99,-99,-99,-99,-99,-99,-99,10,7,-99,-99
12,-99,-99,-99,-99,-99,-99,-99,-99,-99,12,-99,-99,-99,-99,10,-99,-99,-99,-99
-99,-99,-99,-99,-99,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,7,-99,-99,-99,-99
-99,-99,8,-99,-99,-99,-99,-99,-99,12,-99,-99,-99,-99,-99,-99,-99,-99,-99,5
-99,9,-99,-99,-99,-99,8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,-99
